% Model:              cali 1.68 0.57mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 19 2023, 16:28
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.631890436936741        -0.7488753915658342
330000000                0.5640046071771707       -0.7995525042317295
360000000                0.4921426592894008       -0.8439580917785942
390000000                0.41690023551632793      -0.8817935205710659
420000000                0.33889260695262546      -0.9128188454239812
450000000                0.2587486558031113       -0.9368535079173717
480000000                0.17710492140810388      -0.9537763937246151
510000000                0.09459986008490624      -0.9635251798861403
540000000                0.011868512129568033     -0.9660951875291174
570000000                -0.07046258828673402     -0.9615378949178104
600000000                -0.15178026314261697     -0.9499589947741154
630000000                -0.23148917948478653     -0.931516049272582
660000000                -0.3090159634076636      -0.9064158390001191
690000000                -0.38381294896721646     -0.8749114593508612
720000000                -0.45536156577039044     -0.8372992043524992
750000000                -0.5231753673211407      -0.7939152755533041
780000000                -0.586802704323317       -0.7451323537851495
810000000                -0.6458290541718903      -0.691356069618969
840000000                -0.6998790227547094      -0.633021399061426
870000000                -0.7486180299905281      -0.5705890019060246
900000000                -0.7917536840262422      -0.5045415215521161
930000000                -0.829036850978136       -0.4353798687180314
960000000                -0.8602624314161882      -0.36361950886639144
990000000                -0.8852698546052017      -0.2897867689160297
1020000000               -0.9039432993641943      -0.2144151760588185
1050000000               -0.9162116481651807      -0.1380418421262254
1080000000               -0.9220481808476525      -0.061203907378251134
1110000000               -0.9214700146827957      0.015564941802791664
1140000000               -0.9145372981581         0.09173786682687463
1170000000               -0.9013521663661248      0.16679816822054958
1200000000               -0.8820574663610344      0.24024246008852096
1230000000               -0.8568352616213386      0.31158371339655944
1260000000               -0.825905125840189       0.38035415376692394
1290000000               -0.789522237472692       0.44610799996149075
1320000000               -0.7479752877522872      0.5084240297132737
1350000000               -0.7015842160436767      0.5669079604976147
1380000000               -0.6506977873269073      0.6211946339930058
1410000000               -0.5956910276686417      0.6709499938296163
1440000000               -0.536962534223769       0.7158728476884624
1470000000               -0.4749316770730195      0.7556964060142123
1500000000               -0.410035710900677       0.7901895909695965
1530000000               -0.3427268148876495      0.8191581108677375
1560000000               -0.2734690795360188      0.8424452968542495
1590000000               -0.20273545930669343     0.859932700196919
1620000000               -0.13100470979857662     0.8715404502158508
1650000000               -0.05875832802739929     0.87722737440988
1680000000               0.013522486108378652     0.8769908838913554
1710000000               0.0853598296111434       0.8708666286486499
1740000000               0.15628204060949305      0.8589279285069028
1770000000               0.2258265709376593       0.8412849868525751
1800000000               0.293542771955687        0.8180838953042446
1830000000               0.358994579411287        0.7895054384586977
1860000000               0.4217630841789188       0.7557637086821788
1890000000               0.4814489766878959       0.7171045416428069
1920000000               0.5376748539736086       0.673803783843349
1950000000               0.5900873792561745       0.6261654039016671
1980000000               0.6383592849512691       0.5745194597301729
2010000000               0.6821912110999752       0.5192199339392553
2040000000               0.7213133719524024       0.4606424501624827
2070000000               0.7554870445335287       0.3991818829351278
2100000000               0.7845058736614036       0.3352498740428848
2130000000               0.8081969888103178       0.26927226814830546
2.16E9                   0.8264219288718291       0.20168648057757227
2.19E9                   0.8390773715256117       0.1329388102681611
2.22E9                   0.8460956646574517       0.06348171066506095
2.25E9                   0.8474451577796032       -0.0062289683606044565
2.28E9                   0.843130332069865        -0.0757367546758671
2.31E9                   0.8331917281856474       -0.144587331043912
2.34E9                   0.8177056716065846       -0.21233130217905805
2.37E9                   0.796783795862022        -0.27852693843937243
2.4E9                    0.7705723646017362       -0.3427428828511667
2.43E9                   0.7392513941551506       -0.4045608079412022
2.46E9                   0.7030335789118859       -0.4635780087655619
2.49E9                   0.662163022630871        -0.5194099183614654
2.52E9                   0.6169137796350821       -0.5716925317017084
2.55E9                   0.5675882107310252       -0.6200847241747396
2.58E9                   0.5145151596702215       -0.6642704505402506
2.61E9                   0.4580479570910555       -0.7039608102751288
2.64E9                   0.3985622598993846       -0.7388959654019693
2.67E9                   0.33645373538490236      -0.7688468969638255
2.7E9                    0.2721356004858457       -0.7936169867148027
2.73E9                   0.20603602807134325      -0.8130434109128495
2.76E9                   0.13859543333026264      -0.8269983337641446
2.79E9                   0.07026365480769314      -0.8353898887392712
2.82E9                   0.0014970458890505968    -0.8381629369136034
2.85E9                   -0.06724450602652965     -0.8352995925476142
2.88E9                   -0.13550061429379384     -0.8268195073942348
2.91E9                   -0.20281346203896639     -0.8127799066652008
2.94E9                   -0.2687308848196036      -0.793275371205994
2.97E9                   -0.33280944518782385     -0.7684373622523438
3.0E9                    -0.3946174769062841      -0.7384334870532365
3.03E9                   -0.4537380757296018      -0.7034665058091788
3.06E9                   -0.5097720135788696      -0.6637730825136633
3.09E9                   -0.5623405526171429      -0.6196222846701823
3.12E9                   -0.6110881360172176      -0.5713138391945012
3.15E9                   -0.6556849326447329      -0.5191761541795004
3.18E9                   -0.6958292135056688      -0.46356411868165665
3.21E9                   -0.7312495389230765      -0.4048566949357921
3.24E9                   -0.761706736625894       -0.3434543197279504
3.27E9                   -0.7869956525360078      -0.27977613375262483
3.3E9                    -0.8069466578538368      -0.21425705977423895
3.33E9                   -0.8214268981281739      -0.14734475215455653
3.36E9                   -0.8303412722884146      -0.07949644184179808
3.39E9                   -0.8336331320749006      -0.0111757022089385
3.42E9                   -0.8312846949607519      0.057150837959379114
3.45E9                   -0.8233171663619088      0.12501680729003825
3.48E9                   -0.8097905697620335      0.1919594031386819
3.51E9                   -0.7908032861894162      0.25752267405415563
3.54E9                   -0.766491307308896       0.3212607463260039
3.57E9                   -0.7370272091178913      0.3827409682791878
3.6E9                    -0.702618855889924       0.44154694685282775
3.63E9                   -0.6635078464968623      0.4972814522958482
3.66E9                   -0.6199677175429406      0.5495691683338434
3.69E9                   -0.5723019198488594      0.5980592668945345
3.72E9                   -0.5208415866876611      0.6424277884442302
3.75E9                   -0.46594311375041475     0.682379811148188
3.78E9                   -0.40798557214132425     0.7176513942994087
3.81E9                   -0.3473679767650703      0.7480112838134819
3.84E9                   -0.28450643316848556     0.7732623700139282
3.87E9                   -0.21983118638210108     0.7932428903326466
3.9E9                    -0.15378359551936072     0.8078273719340994
3.93E9                   -0.08681305774244077     0.8169273116299327
3.96E9                   -0.01937390496518905     0.8204915926707544
3.99E9                   0.048077703949237896     0.8185066401484307
4.02E9                   0.11508687344187046      0.8109963187215824
4.05E9                   0.1812030228288659       0.7980215782168509
4.08E9                   0.24598287914059702      0.7796798543207007
4.11E9                   0.3089933922715229       0.7561042330720424
4.14E9                   0.36981455488092724      0.7274623891503554
4.17E9                   0.4280421106174537       0.693955309117372
4.2E9                    0.4832901357544975       0.6558158116783905
4.23E9                   0.5351934805694011       0.6133068778466818
4.26E9                   0.5834100582072619       0.5667198044954207
4.29E9                   0.6276229700461198       0.5163721952801757
4.32E9                   0.6675424578816838       0.4626058032662826
4.35E9                   0.7029076744471908       0.4057842398360329
4.38E9                   0.7334882649498294       0.3462905645995058
4.41E9                   0.759085753364294        0.2845247711531196
4.44E9                   0.779534728286815        0.22090118345564586
4.47E9                   0.7947038240434037       0.15584577768403973
4.5E9                    0.8044964936690026       0.08979344430110679
4.53E9                   0.8088515711899635       0.023185205045880654
4.56E9                   0.8077436214199363       -0.043534600532021635
4.59E9                   0.8011830762234745       -0.10992114437885166
4.62E9                   0.7892161569282821       -0.17553194056794238
4.65E9                   0.7719245832623725       -0.23992966272460936
4.68E9                   0.7494250699195164       -0.30268493370825206
4.71E9                   0.7218686125597608       -0.3633790730598052
4.74E9                   0.6894395658251384       -0.4216067876193506
4.77E9                   0.6523545167258092       -0.47697879076005734
4.8E9                    0.610860957605945        -0.5291243356141785
4.83E9                   0.5652357637816984       -0.5776936476991056
4.86E9                   0.515783481917697        -0.6223602423453213
4.89E9                   0.4628344362358025       -0.6628231124237519
4.92E9                   0.4067426607186715       -0.6988087720157911
4.95E9                   0.34788366668442877      -0.7300731418514833
4.98E9                   0.286652056251811        -0.7564032627163517
5.01E9                   0.22345899355511137      -0.7776188234117287
5.04E9                   0.1587295467998276       -0.7935734904609437
5.07E9                   0.09289991563849878      -0.8041560274391728
5.1E9                    0.02641455959293726      -0.8092911927068848
5.13E9                   -0.040276755363876586    -0.8089404053435383
5.16E9                   -0.10672197379835319     -0.8031021703216603
5.19E9                   -0.17246981181499096     -0.7918122553447331
5.22E9                   -0.23707284154547834     -0.7751436133489612
5.25E9                   -0.3000905775283988      -0.753206046421464
5.28E9                   -0.36109254267409663     -0.7261456087851187
5.31E9                   -0.4196612908495861      -0.6941437485541547
5.34E9                   -0.47539536270867855     -0.6574161901498733
5.37E9                   -0.5279121512565824      -0.6162115615201493
5.4E9                    -0.5768506536483898      -0.5708097726969842
5.43E9                   -0.6218740861480512      -0.5215201545607392
5.46E9                   -0.6626723397151217      -0.4686793691395047
5.49E9                   -0.6989642546699106      -0.41264910506473795
5.52E9                   -0.7304996940214283      -0.35381357416230597
5.55E9                   -0.7570613965516823      -0.2925768272930293
5.58E9                   -0.778466592493584       -0.22935990958049995
5.61E9                   -0.7945683665930514      -0.16459787707329296
5.64E9                   -0.8052567556182618      -0.0987366983961188
5.67E9                   -0.8104595697461712      -0.03223006642521503
5.7E9                    -0.8101429298623009      0.0344638539705519
5.73E9                   -0.8043115155040346      0.10088571528306854
5.76E9                   -0.7930085209663252      0.16657828646307518
5.79E9                   -0.7763153199177051      0.23108973436938515
5.82E9                   -0.7543508417055531      0.2939768602686332
5.85E9                   -0.7272706652995211      0.35480826470163457
5.88E9                   -0.6952658395277914      0.41316741479469155
5.91E9                   -0.6585614407963266      0.46865558931234014
5.94E9                   -0.6174148818984233      0.5208946780958954
5.97E9                   -0.572113987681849       0.5695298142705515
6.0E9                    -0.5229748553222875      0.6142318194423888
