% Model:              cali 1.68 0.57mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 19 2023, 20:10
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5301785162216248       -0.7390269593582384
330000000                0.4588897529552581       -0.7837896078856128
360000000                0.38395991176856853      -0.8217762585074138
390000000                0.3060137187317835       -0.8526886145878922
420000000                0.2257039923225138       -0.8762861963346276
450000000                0.1437053683765459       -0.8923890281667264
480000000                0.06070806140865717      -0.9008796487840304
510000000                -0.02258837171491539     -0.9017044850504157
540000000                -0.10548125646532931     -0.8948746356074034
570000000                -0.18727105130403016     -0.8804660859531904
600000000                -0.2672675989238722      -0.8586192857459101
630000000                -0.3447962639282127      -0.82953810262397
660000000                -0.4192039396924774      -0.7934882215546595
690000000                -0.48986492517298297     -0.7507949485087816
720000000                -0.5561865412178015      -0.701840386144271
750000000                -0.6176143791474378      -0.6470601098700176
780000000                -0.6736372652123973      -0.586939440097075
810000000                -0.7237919835293818      -0.5220091917470677
840000000                -0.7676675778930374      -0.4528408109627637
870000000                -0.8049090265514043      -0.3800410062263563
900000000                -0.8352202118710879      -0.3042460866271437
930000000                -0.8583662656116693      -0.22611619057039023
960000000                -0.8741754273795785      -0.14632943284646585
990000000                -0.8825404497553017      -0.06557590297021086
1020000000               -0.8834195041428736      0.015448527981249273
1050000000               -0.8768364804874293      0.09604861191401873
1080000000               -0.8628805094881264      0.17553624385904812
1110000000               -0.8417046373627484      0.2532368452613852
1140000000               -0.8135237918950639      0.3284953722847211
1170000000               -0.7786122714017906      0.40068190198427883
1200000000               -0.7373008681522882      0.46919690504764233
1230000000               -0.6899735855441187      0.5334762714061524
1260000000               -0.6370638974509077      0.5929960527073393
1290000000               -0.5790505309812499      0.6472768509141402
1320000000               -0.5164527837253826      0.6958877446170615
1350000000               -0.4498254746813074      0.7384496418460422
1380000000               -0.37975367303696683     0.7746380489580024
1410000000               -0.30684726580795413     0.8041853137860685
1440000000               -0.2317353567330006      0.8268823351891778
1470000000               -0.1550605540848828      0.8425796616884302
1500000000               -0.0774732959001522      0.8511879643271055
1530000000               3.73672332808539E-4      0.852677988283304
1560000000               0.07783067950339895      0.847080106046292
1590000000               0.15425644985904052      0.834483491798949
1620000000               0.2290233854758645       0.8150348421454496
1650000000               0.3015227417262578       0.7889365706762111
1680000000               0.3711695823073351       0.7564444569744739
1710000000               0.43740738860055295      0.7178647903083509
1740000000               0.49971222328757925      0.673551121279237
1770000000               0.5575964395888889       0.6239007774642821
1800000000               0.6106120296846836       0.5693512438084539
1830000000               0.6583537150215911       0.5103763888113223
1860000000               0.7004617882055122       0.4474824524613545
1890000000               0.7366246254134321       0.38120375383295857
1920000000               0.7665807778087335       0.31209815761304366
1950000000               0.7901205945185077       0.2407423821057839
1980000000               0.807087372377739        0.16772723242659748
2010000000               0.8173780549714036       0.09365282874828462
2040000000               0.8209435220340385       0.019123878012853358
2070000000               0.8177885135506792       -0.05525499299826088
2100000000               0.8079712135918236       -0.12888384899494684
2130000000               0.791602491540613        -0.20117200814908803
2.16E9                   0.7688447836380039       -0.27154254410317813
2.19E9                   0.7399105976591763       -0.3394367005390805
2.22E9                   0.705060629657746        -0.4043181772671711
2.25E9                   0.6646014946730091       -0.46567723512462406
2.28E9                   0.6188830958915713       -0.5230345641341917
2.31E9                   0.568295677819534        -0.5759448748955044
2.34E9                   0.5132666126523404       -0.6240001995237076
2.37E9                   0.45425695319772913      -0.6668329074159423
2.4E9                    0.3917577638361731       -0.7041184414488701
2.43E9                   0.3262862277739599       -0.7355777653270213
2.46E9                   0.25838153138246617      -0.7609794936155746
2.49E9                   0.1886005419004242       -0.7801416640229477
2.52E9                   0.11751331481011285      -0.792933112966856
2.55E9                   0.04569848136465424      -0.7992744290791576
2.58E9                   -0.02626143075288319     -0.7991384770572468
2.61E9                   -0.09778469815635074     -0.7925504970860059
2.64E9                   -0.16829508869952578     -0.7795877890494896
2.67E9                   -0.23722650617158295     -0.7603789879700158
2.7E9                    -0.304027565565546       -0.7351029321971727
2.73E9                   -0.3681660676515861      -0.7039871226794511
2.76E9                   -0.4291333352664425      -0.6673057726126493
2.79E9                   -0.4864483676376714      -0.6253774522850545
2.82E9                   -0.5396617660351346      -0.5785623429475274
2.85E9                   -0.5883593852891134      -0.5272591237428923
2.88E9                   -0.632165671334287       -0.4719015243296156
2.91E9                   -0.6707466528367843      -0.41295458124042206
2.94E9                   -0.7038125632737038      -0.3509106368788195
2.97E9                   -0.7311200751452542      -0.2862851183512975
3.0E9                    -0.7524741301293869      -0.21961213091678458
3.03E9                   -0.7677293483438761      -0.15143990120390427
3.06E9                   -0.7767909998681021      -0.08232610881237333
3.09E9                   -0.7796155244516186      -0.012833150559761107
3.12E9                   -0.7762105918262723      0.05647661357915358
3.15E9                   -0.7666347037449341      0.12504558191077506
3.18E9                   -0.7509963474663843      0.19232555063915657
3.21E9                   -0.7294527169570039      0.2577822266755359
3.24E9                   -0.7022080219670763      0.3208995734530527
3.27E9                   -0.6695114072777802      0.38118395331487015
3.3E9                    -0.631654506058867       0.4381680325830951
3.33E9                   -0.5889686536188913      0.49141441701943017
3.36E9                   -0.5418217910988992      0.5405189872929989
3.39E9                   -0.4906150923520377      0.5851139069811381
3.42E9                   -0.43577935067526075     0.6248702797358606
3.45E9                   -0.37777116443016356     0.6595004373040134
3.48E9                   -0.31706896183103583     0.6887598454395824
3.51E9                   -0.25416890506981        0.7124486199729203
3.54E9                   -0.1895807131009063      0.7304126498608057
3.57E9                   -0.12382344098252158     0.7425443279567019
3.6E9                    -0.05742125218362535     0.7487828934831203
3.63E9                   0.009100781128749702     0.749114393084717
3.66E9                   0.07522081628299926      0.7435712701424874
3.69E9                   0.1404242845871293       0.732231594812454
3.72E9                   0.2042078118482726       0.7152179501166467
3.75E9                   0.2660829868493359       0.6926959920598277
3.78E9                   0.3255799524857228       0.6648727039834497
3.81E9                   0.3822507971278013       0.6319943670407584
3.84E9                   0.43567272675132823      0.5943442697022883
3.87E9                   0.48545100103601446      0.5522401797923989
3.9E9                    0.5312216190229327       0.5060316028194966
3.93E9                   0.5726537420765977       0.4560968505515397
3.96E9                   0.6094518438418799       0.4028399439301577
3.99E9                   0.6413575788550727       0.34668737455149784
4.02E9                   0.6681513634018948       0.2880847489177897
4.05E9                   0.6896536641441586       0.22749333951007822
4.08E9                   0.7057259918236376       0.165386566400197
4.11E9                   0.7162715990462175       0.10224643254688988
4.14E9                   0.7212358825470769       0.038559935447280105
4.17E9                   0.7206064916587569       -0.025184522829102735
