% Model:              cali 1.68 0.57mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 19 2023, 20:08
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6189875247078285       -0.7658157050633085
330000000                0.5482014198933838       -0.8174095806245015
360000000                0.4731416370436783       -0.8624214729044346
390000000                0.3944240748308445       -0.9004967620235445
420000000                0.31269514180033603      -0.9313386458825758
450000000                0.22862451914877938      -0.9547132182144742
480000000                0.14289872249952093      -0.9704461465307292
510000000                0.056218947510195606     -0.9784276563644401
540000000                -0.030707630399889753    -0.9786134476481044
570000000                -0.1171735978943163      -0.9710243766978991
600000000                -0.20247725256826846     -0.9557462214250658
630000000                -0.28592852248951905     -0.9329289982680337
660000000                -0.36685547423308285     -0.9027860729060904
690000000                -0.4446107245533685      -0.8655904223529842
720000000                -0.5185744781139088      -0.8216729212048769
750000000                -0.5881618440994253      -0.7714207431300466
780000000                -0.6528284786061513      -0.7152723712104543
810000000                -0.7120744894052076      -0.6537126404260141
840000000                -0.7654475170709164      -0.5872687544621928
870000000                -0.8125468852696207      -0.5165064401572055
900000000                -0.8530278077177176      -0.4420244679096832
930000000                -0.8866040120638973      -0.36444796613553
960000000                -0.9130483966399567      -0.2844226662252121
990000000                -0.9321945917502049      -0.20261044786260185
1020000000               -0.9439389437129592      -0.11968331054542075
1050000000               -0.9482409386904354      -0.03631674969948269
1080000000               -0.9451227228574711      0.046816488983474215
1110000000               -0.9346679805435172      0.12905247811537546
1140000000               -0.9170200607955578      0.2097418318968262
1170000000               -0.8923796716034625      0.2882548252464384
1200000000               -0.8610024920960488      0.36398619889679673
1230000000               -0.8231964498710491      0.4363599483804236
1260000000               -0.7793184600740586      0.5048338652071863
1290000000               -0.729770771805036       0.568903720018357
1320000000               -0.674996896340497       0.6281071220974024
1350000000               -0.6154770812742744      0.6820268981805647
1380000000               -0.5517234792683962      0.7302938474591434
1410000000               -0.48427519620126686     0.7725888699542947
1440000000               -0.41369334191972823     0.8086445534749904
1470000000               -0.340556111480423       0.8382463216682793
1500000000               -0.2654538636901487      0.8612331813889462
1530000000               -0.18898419119412113     0.8774980406640047
