% Model:              cali 3.02 0.91mm 校准 短路.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 19 2023, 15:12
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                -0.12338166507014386     0.9912693750345434
330000000                0.0208598187929411       0.9985224766997789
360000000                0.16461902979342594      0.9849001433262125
390000000                0.3048919597472146       0.9506958804567459
420000000                0.43874990143125586      0.8966326763850978
450000000                0.5634003411830538       0.8238472336414342
480000000                0.6762448322064657       0.7338656750592087
510000000                0.7749326815491572       0.6285712758236074
540000000                0.8574093811590082       0.5101649260284454
570000000                0.9219588301752115       0.3811191634504287
600000000                0.9672385262343944       0.24412673348016534
630000000                0.9923070469834034       0.10204473041841394
660000000                0.9966432957293648       -0.042164548381079636
690000000                0.9801571450475799       -0.18549484794550714
720000000                0.9431912764922701       -0.3249580771682099
750000000                0.8865141817428217       -0.45764606784002315
780000000                0.8113044578166676       -0.5807907395875429
810000000                0.7191266948305124       -0.6918214653324357
840000000                0.6118994168003248       -0.7884184801734438
870000000                0.491855691726021        -0.8685612452436392
900000000                0.36149717485051697      -0.930570766831367
930000000                0.2235424852854532       -0.9731449801507543
960000000                0.08087093880475199      -0.9953864350632581
990000000                -0.06353723457646403     -0.9968216668109555
1020000000               -0.20666297316795054     -0.9774117965448893
1050000000               -0.34551148768692586     -0.9375540818692474
1080000000               -0.4771750691509577      -0.8780743236713795
1110000000               -0.5988942718622633      -0.8002102285801682
1140000000               -0.7081161600117568      -0.7055860224423005
1170000000               -0.8025483543580251      -0.5961788043798438
1200000000               -0.8802076931772232      -0.4742773184949698
1230000000               -0.9394624290018986      -0.3424339959058793
1260000000               -0.9790670176990549      -0.20341127828585048
1290000000               -0.9981887161824852      -0.060123370961964906
1320000000               -0.9964253860793229      0.08442531584703725
1350000000               -0.9738140981342254      0.22720369796595352
1380000000               -0.9308303409213091      0.3652181324983197
1410000000               -0.8683778516945359      0.4955757146102453
1440000000               -0.7877693009907549      0.6155453735915033
1470000000               -0.6906982700074731      0.7226154395477042
1500000000               -0.5792031548799049      0.8145464383694023
1530000000               -0.4556238099649206      0.8894179876367206
1560000000               -0.3225518982722295      0.9456688069995816
1590000000               -0.18277604779375542     0.9821290184111136
1620000000               -0.039223015191953974    0.998044089586612
1650000000               0.10510386890257079      0.9930899632484886
1680000000               0.24718765592416914      0.9673791097177455
1710000000               0.3840608071960523       0.9214574364788893
1740000000               0.5128669801452274       0.8562921806933326
1770000000               0.6309203027115686       0.7732510953332401
1800000000               0.7357609337979348       0.6740734130179622
1830000000               0.8252057975975785       0.5608332308623968
1860000000               0.8973934886302222       0.4358961026344102
1890000000               0.950822469824919        0.3018697491231481
1920000000               0.9843818244552907       0.16154990326409355
1950000000               0.9973739720528312       0.017862391827807925
1980000000               0.9895289155344607       -0.1261973795089382
2010000000               0.961009749601227        -0.26762632682048093
2040000000               0.9124093265774236       -0.40347574015019005
2070000000               0.8447381432612993       -0.5309122506198091
2100000000               0.7594036788576972       -0.6472764943974576
2130000000               0.6581815777445112       -0.7501382945549651
2.16E9                   0.5431792292645191       -0.8373472420360355
2.19E9                   0.41679244785857855      -0.907077637326191
2.22E9                   0.28165609795953106      -0.9578668550655087
