% Model:              cali 3.02 0.91mm 校准 开路.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 19 2023, 20:29
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6757101979839618       -0.722183116355073
330000000                0.6147232573157968       -0.7752702075017825
360000000                0.5496156430348329       -0.8232258791698828
390000000                0.48081734674309295      -0.8657312917502051
420000000                0.408782982186143        -0.9025034517467095
450000000                0.3339888195882683       -0.9332971155874745
480000000                0.25692967023264046      -0.9579064515041114
510000000                0.1781156422965495       -0.9761664465340806
540000000                0.09806878748553559      -0.9879540486396607
570000000                0.01731966064065347      -0.9931890348402439
600000000                -0.06359618641438285     -0.9918345983766246
630000000                -0.1441417530981328      -0.9838976493374988
660000000                -0.22378215712773636     -0.9694288253554766
690000000                -0.30198819733584936     -0.9485222106280855
720000000                -0.37823988699912214     -0.9213147637820852
750000000                -0.45202993497076316     -0.887985456710514
780000000                -0.5228671495106568      -0.8487541290563257
810000000                -0.5902797419279179      -0.8038800646125186
840000000                -0.653818506728053       -0.7536602980913536
870000000                -0.7130598554883257      -0.6984276629823841
900000000                -0.7676086833913704      -0.6385485925577216
930000000                -0.8171010473017959      -0.5744206887832254
960000000                -0.8612066365322262      -0.5064700748299398
990000000                -0.8996310179560845      -0.43514854945045206
1020000000               -0.9321176394286049      -0.36093056220562036
1050000000               -0.9584495766963421      -0.2843100304272561
1080000000               -0.978451010816915       -0.20579702047846268
1110000000               -0.9919884255669447      -0.1259143156579478
1140000000               -0.9989715157313553      -0.04519389565497676
1170000000               -0.9993537998199754      0.03582664832681997
1200000000               -0.9931329326574826      0.11660773690871003
1230000000               -0.9803507157272615      0.19661143909444434
1260000000               -0.9610928052945784      0.27530509630811717
1290000000               -0.9354881206894646      0.3521649081346128
1320000000               -0.9037079572890715      0.426679454814835
1350000000               -0.8659648109651136      0.4983531316815036
1380000000               -0.8225109229403498      0.5667094715332069
1410000000               -0.7736365558154287      0.6312943322390547
1440000000               -0.7196680137449327      0.6916789273869203
1470000000               -0.6609654213430467      0.7474626795357984
1500000000               -0.5979202775381749      0.7982758769625322
1530000000               -0.5309528022570371      0.8437821162016438
1560000000               -0.4605090950322591      0.8836805145225743
1590000000               -0.38705812588365895     0.9177076781813259
1620000000               -0.3110885797229199      0.9456394141989262
1650000000               -0.2331055765435556      0.9672921752369542
1680000000               -0.15362729007218923     0.9825242292160662
1710000000               -0.0731814881500192      0.9912365472135088
1740000000               0.007697981479273608     0.9933734051761123
1770000000               0.08847473655217489      0.9889226970116249
1800000000               0.16861341301268187      0.9779159584967325
1830000000               0.24758320182040094      0.9604281034003027
1860000000               0.32486134669339467      0.9365768750707173
1890000000               0.3999365803351349       0.906522018516172
1920000000               0.4723124771976064       0.8704641797322608
1950000000               0.5415107014960011       0.8286435407538554
1980000000               0.6070741304081096       0.7813382002987672
2010000000               0.6685698328951588       0.7288623115380312
2040000000               0.7255918859700743       0.6715639897580815
2070000000               0.7777640111804143       0.6098230040739296
2100000000               0.8247420154785492       0.5440482683437161
2130000000               0.8662160216147972       0.4746751478411089
2.16E9                   0.9019124749029199       0.4021625987790608
2.19E9                   0.9315959142027094       0.3269901591386002
2.22E9                   0.9550704966921238       0.2496548096096404
2.25E9                   0.9721812672702062       0.17066772438535535
2.28E9                   0.9828151649790791       0.09055093212990134
2.31E9                   0.9869017603985235       0.009833907699460014
2.34E9                   0.9844137194310989       -0.07094988413253944
2.37E9                   0.9753669905185117       -0.1512664716346977
2.4E9                    0.9598207138939738       -0.230584864111589
2.43E9                   0.9378768530512375       -0.3083805234179206
2.46E9                   0.9096795502665096       -0.38413879714637
2.49E9                   0.8754142095375926       -0.4573582922343654
2.52E9                   0.8353063120061783       -0.5275541675262518
2.55E9                   0.7896199704733164       -0.5942613244754017
2.58E9                   0.7386562312092977       -0.6570374755430404
2.61E9                   0.6827511328737291       -0.7154660703762487
2.64E9                   0.622273533908908        -0.7691590605836495
2.67E9                   0.5576227212112566       -0.8177594848050678
2.7E9                    0.4892258145210022       -0.8609438565540106
2.73E9                   0.41753498212387524      -0.8984243385978865
2.76E9                   0.34302448517402306      -0.9299506885442306
2.79E9                   0.2661875688663951       -0.9553119618702901
2.82E9                   0.18753322012852858      -0.9743379598737731
2.85E9                   0.10758281253113183      -0.9869004116312818
2.88E9                   0.026866659881637035     -0.9929138807150886
2.91E9                   -0.05407949867371649     -0.9923363890651067
2.94E9                   -0.13471805918165333     -0.9851697523734805
2.97E9                   -0.21451313498617752     -0.9714596231576428
3.0E9                    -0.29293413642535365     -0.951295239728478
3.03E9                   -0.36945932360634864     -0.9248088812845126
3.06E9                   -0.44357930783289795     -0.89217503144758
3.09E9                   -0.5148004773897403      -0.8536092546355616
3.12E9                   -0.5826483236541187      -0.8093667917900419
3.15E9                   -0.6466706440833683      -0.7597408840420877
3.18E9                   -0.7064405992970659      -0.7050608349700733
3.21E9                   -0.7615596024299516      -0.6456898240620821
3.24E9                   -0.8116600200096489      -0.5820224858986304
3.27E9                   -0.8564076647772731      -0.5144822715406527
3.3E9                    -0.8955040625920447      -0.4435186099935631
3.33E9                   -0.9286884768520509      -0.3696038895435721
3.36E9                   -0.955739675847481       -0.2932302799300843
3.39E9                   -0.9764774302671653      -0.21490641764378135
3.42E9                   -0.9907637300854724      -0.13515397772019355
3.45E9                   -0.9985037121680516      -0.05450415626192215
