% Model:              cali 2.99 1.02mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 19 2023, 16:38
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6042532798094357       -0.7742322746069678
330000000                0.530478937140061        -0.8227010126127766
360000000                0.45297618896282615      -0.8639025304441547
390000000                0.37249262578238407      -0.8975846936781761
420000000                0.2897851360485326       -0.9235760929876129
450000000                0.2056108812623627       -0.9417846894397277
480000000                0.12071821079508922      -0.9521953392927216
510000000                0.03583854539886122      -0.9548652249295633
540000000                -0.04831939278174957     -0.9499190644003002
570000000                -0.13107511477523454     -0.9375451024595629
600000000                -0.21178186799369192     -0.917990265402969
630000000                -0.2898311209644936      -0.8915546598093571
660000000                -0.3646560806915828      -0.8585859705944652
690000000                -0.43573445006125006     -0.8194738931863047
720000000                -0.5025905180901745      -0.7746446341324641
750000000                -0.5647966249144667      -0.7245555243115623
780000000                -0.6219740416145453      -0.6696898200986031
810000000                -0.6737933548308112      -0.610551772643404
840000000                -0.7199744782823633      -0.5476619756615578
870000000                -0.7602863518336287      -0.4815529429518428
900000000                -0.7945463274434188      -0.41276490444225084
930000000                -0.8226192643338696      -0.3418418570986472
960000000                -0.8444163947668578      -0.2693278918348398
990000000                -0.8598940199751128      -0.19576378089345117
1020000000               -0.8690520705850613      -0.12168379620361183
1050000000               -0.8719325469342964      -0.04761273519661965
1080000000               -0.8686178489005578      0.025936859098095618
1110000000               -0.8592290059610082      0.09846729191841536
1140000000               -0.8439238187106372      0.16949813306296269
1170000000               -0.8228949205551074      0.23856846489925376
1200000000               -0.7963677648202456      0.3052389698947911
1230000000               -0.7645985404303168      0.36909386275935857
1260000000               -0.7278720194116174      0.4297426689755266
1290000000               -0.6864993405786683      0.48682185019507584
1320000000               -0.6408157346878396      0.5399962766133232
1350000000               -0.5911781964868628      0.5889605466089115
1380000000               -0.5379631086988127      0.6334401538442689
1410000000               -0.4815638225507514      0.6731925013931871
1440000000               -0.42238819936631233     0.7080077615672763
1470000000               -0.36085611817659835     0.7377095791017068
1500000000               -0.2973969551809405      0.7621556146498922
1530000000               -0.23244704198828164     0.7812379251867791
1560000000               -0.16644711062757        0.7948831780499529
1590000000               -0.09983973448697779     0.8030526956481824
1620000000               -0.03306677512379004     0.8057423285658243
1650000000               0.03343315430056393      0.8029821555380754
1680000000               0.09922719775004706      0.7948360096532601
1710000000               0.16389072540409694      0.7814008310648499
1740000000               0.22700975120099598      0.7628058474804983
1770000000               0.2881832865304377       0.7392115847151859
1800000000               0.3470256178622954       0.710808710620565
1830000000               0.4031684959998142       0.6778167167947465
1860000000               0.45626322492705945      0.6404824434842954
1890000000               0.5059826383417466       0.5990784542135816
1920000000               0.5520229524400213       0.55390126765639
1950000000               0.5941054839284216       0.5052694553030324
1980000000               0.6319782228269656       0.4535216144482981
2010000000               0.6654172502986498       0.3990142269444021
2040000000               0.6942279924730578       0.34211941502211113
2070000000               0.7182463020923727       0.2832226063050887
2100000000               0.7373393606872821       0.2227201208674497
2130000000               0.7514063949935483       0.16101669383092224
2.16E9                   0.7603792023318278       0.09852294761231457
2.19E9                   0.7642224807783915       0.03565282837352566
2.22E9                   0.762933961088622        -0.027178978317410125
2.25E9                   0.7565443385038023       -0.08955963731537485
2.28E9                   0.7451170037970063       -0.15108074371141528
2.31E9                   0.7287475741468037       -0.21134087697991522
2.34E9                   0.7075632256823294       -0.26994811382214395
2.37E9                   0.6817218307923508       -0.32652248418619234
2.4E9                    0.6514109045544156       -0.3806983550859726
2.43E9                   0.6168463658823843       -0.4321267271979625
2.46E9                   0.578271120170783        -0.4804774296299485
2.49E9                   0.5359534714751277       -0.5254411986924398
2.52E9                   0.49018537332109435      -0.5667316272182562
2.55E9                   0.44128052843536525      -0.6040869715628198
2.58E9                   0.3895723486790578       -0.637271804303094
2.61E9                   0.33541178747721667      -0.6660785014916005
2.64E9                   0.27916505797790575      -0.6903285542935346
2.67E9                   0.22121125099441558      -0.7098736959021186
2.7E9                    0.16193986756766654      -0.7245968357276493
2.73E9                   0.10174828166804915      -0.7344127940645372
2.76E9                   0.04103914910371707      -0.7392688316831175
2.79E9                   -0.019782220766827764    -0.7391449700963678
2.82E9                   -0.08031051362226478     -0.7340540996080324
2.85E9                   -0.1401430618240223      -0.7240418736182898
2.88E9                   -0.19888248179653711     -0.7091863890989041
2.91E9                   -0.2561392797916023      -0.6895976545488309
2.94E9                   -0.3115344087287632      -0.6654168481971647
2.97E9                   -0.36470175906906066     -0.636815370644275
3.0E9                    -0.4152905670027999      -0.6039936975458029
3.03E9                   -0.46296772368207106     -0.567180039333547
3.06E9                   -0.5074199698164791      -0.5266288163320656
3.09E9                   -0.548355960639655       -0.48261895892414364
3.12E9                   -0.5855081870692973      -0.43545204367738066
3.15E9                   -0.6186347397966071      -0.38545027751969746
3.18E9                   -0.6475209040556412      -0.3329543431668559
3.21E9                   -0.6719805739568205      -0.2783211200010864
3.24E9                   -0.6918574764437833      -0.22192129554744824
3.27E9                   -0.7070261962464006      -0.16413688347774258
3.3E9                    -0.7173929945278235      -0.10535866482845685
3.33E9                   -0.7228964153663254      -0.045983569632677086
3.36E9                   -0.7235076756491042      0.01358798330492881
3.39E9                   -0.719230835467359       0.07295477045785188
3.42E9                   -0.7101027476339881      0.13171745319615227
3.45E9                   -0.6961927864763539      0.18948125468377358
3.48E9                   -0.6776023576036876      0.24585860579269803
3.51E9                   -0.6544641918865607      0.3004717419427934
3.54E9                   -0.626941428383474       0.35295523320847183
3.57E9                   -0.595226492447568       0.4029584303489336
3.6E9                    -0.5595397766547492      0.4501478101234989
3.63E9                   -0.5201281335825012      0.49420920389556855
3.66E9                   -0.4772631907735823      0.5348498943592004
3.69E9                   -0.43123949945190765     0.5718005661535371
3.72E9                   -0.3823725296885095      0.6048170971709481
3.75E9                   -0.3309965257814734      0.6336821784588569
3.78E9                   -0.27746223655875835     0.6582067518405574
3.81E9                   -0.2221345361398652      0.6782312556502719
3.84E9                   -0.16538995142891633     0.6936266703148143
3.87E9                   -0.10761411323278001     0.7042953569076849
