% Model:              cali 3.02 0.91mm 校准-正常组织.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 19 2023, 15:42
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.04063363153781783      -0.9277483401363237
330000000                -0.10033820062736805     -0.9227472078993787
360000000                -0.23883791229084325     -0.8964663798914825
390000000                -0.37167335179651406     -0.849534586079699
420000000                -0.49578447887950966     -0.7830577571851854
450000000                -0.6083147687507705      -0.6985935035271683
480000000                -0.7066778395502515      -0.5981149264495086
510000000                -0.7886177651823638      -0.4839646455075367
540000000                -0.8522616786811323      -0.35880007912527345
570000000                -0.8961633667812399      -0.2255312229415993
600000000                -0.9193367539985311      -0.08725242332437144
630000000                -0.9212784590103276      0.052830186349300624
660000000                -0.9019788902819079      0.1914738249679541
690000000                -0.8619216266812844      0.3254749633652948
720000000                -0.8020711129595242      0.4517441475116031
750000000                -0.7238489904357666      0.5673779297666278
780000000                -0.6290996809715401      0.6697261581389208
810000000                -0.5200461393736271      0.7564530125965947
840000000                -0.3992369252607942      0.8255903997898193
870000000                -0.26948587300278337     0.8755825346310058
900000000                -0.13380577116742565     0.9053206744799118
930000000                0.004662313899517301     0.9141671652371989
960000000                0.14272226844171368      0.9019683073198025
990000000                0.27719692458436856      0.8690559286239199
1020000000               0.40500114953453964      0.8162378190503846
1050000000               0.5232124571684837       0.7447773299310179
1080000000               0.6291375617072252       0.6563625989223385
1110000000               0.7203732891273553       0.5530661504601357
1140000000               0.7948604417472684       0.4372959819120366
1170000000               0.8509295808708356       0.311739429967428
1200000000               0.8873379560424173       0.17930103241525677
1230000000               0.9032967985588108       0.04303556924362613
1260000000               0.8984882088740914       -0.09392229237560641
1290000000               0.8730711424136903       -0.22843005796219976
1320000000               0.8276763747881053       -0.3574094041126113
1350000000               0.7633906493397404       -0.4779163914011537
1380000000               0.6817305022459927       -0.5872082557314443
1410000000               0.5846065280717685       -0.6828053098034714
1440000000               0.4742790088117442       -0.7625467206561518
1470000000               0.35330586730719915      -0.8246391031708253
1500000000               0.22448396322953634      -0.8676969211490624
1530000000               0.09078492281698997      -0.8907737483429417
1560000000               -0.04471312676473876     -0.8933836159143906
1590000000               -0.17889644826259482     -0.8755118680541145
1620000000               -0.30868762747954737     -0.8376151085175932
1650000000               -0.4311168052495825      -0.7806100565443035
1680000000               -0.5433903712312155      -0.705851492329405
1710000000               -0.6429553454712139      -0.6150998700330126
1740000000               -0.7275578696981806      -0.5104795105837486
1770000000               -0.7952944957225014      -0.3944285028960633
1800000000               -0.8446552010228516      -0.2696415402820395
1830000000               -0.8745572194245121      -0.13900698056639085
1860000000               -0.8843688995381774      -0.005539542494514005
1890000000               -0.8739230082381756      0.1276897834072413
1920000000               -0.8435191896262201      0.25762493939877473
1950000000               -0.7939155637568839      0.38129546815376125
1980000000               -0.7263096486549787      0.49588502407489377
2010000000               -0.6423089998238368      0.598796088188859
2040000000               -0.5438922720778099      0.6877092538946149
2070000000               -0.4333617580737783      0.7606356051822611
2100000000               -0.31328870623423966     0.8159609981066209
2130000000               -0.1864528204417887      0.8524813558353526
2.16E9                   -0.05577736789416186     0.8694283094355155
2.19E9                   0.07573863543546261      0.8664846759495877
2.22E9                   0.2050896006475682       0.8437894393790826
2.25E9                   0.32933225135955735      0.8019321480422232
2.28E9                   0.44565255047065233      0.7419369529616028
2.31E9                   0.5514290918731696       0.6652368222147671
2.34E9                   0.6442915542883221       0.5736387151371888
2.37E9                   0.7221730185171413       0.4692806682573292
2.4E9                    0.7833551422210043       0.3545818457309948
2.43E9                   0.8265053450995521       0.2321866719777216
2.46E9                   0.8507052846924353       0.1049042289077895
2.49E9                   0.8554700260002062       -0.024355812354683815
2.52E9                   0.8407574599841002       -0.1526493526078558
2.55E9                   0.8069677196763032       -0.2770646542746433
2.58E9                   0.7549325714976374       -0.3947882363789479
2.61E9                   0.6858950139162044       -0.5031683372375184
2.64E9                   0.6014795849560302       -0.5997744519572098
2.67E9                   0.5036541402195008       -0.6824515684869038
2.7E9                    0.39468407660346916      -0.7493679093289329
2.73E9                   0.2770801164883812       -0.799055201202386
2.76E9                   0.15354083765652007      -0.8304406958608882
2.79E9                   0.02689117296446604      -0.8428703239906685
2.82E9                   -0.0999818465886495      -0.8361224905840388
2.85E9                   -0.22419475197581162     -0.8104121517158531
2.88E9                   -0.34293325402265185     -0.7663849857644465
2.91E9                   -0.45351630484647915     -0.7051016973415893
2.94E9                   -0.5534570747231824      -0.6280127532351008
2.97E9                   -0.640519368773593       -0.5369241177071274
3.0E9                    -0.7127681214345046      -0.43395480434088096
3.03E9                   -0.7686127677476285      -0.32148727785622805
3.06E9                   -0.8068424848503973      -0.2021119142418769
3.09E9                   -0.8266525108998922      -0.07856686017971633
3.12E9                   -0.827660971982203       0.04632527432461454
3.15E9                   -0.8099158741986625      0.169722397654148
3.18E9                   -0.7738921466126992      0.2888280719356601
3.21E9                   -0.7204788517060958      0.4009552832803223
3.24E9                   -0.6509569122362655      0.5035873634198237
3.27E9                   -0.5669679310921596      0.5944346529731089
3.3E9                    -0.47047489424904765     0.6714856093629457
3.33E9                   -0.36371573591624706     0.733051210564033
3.36E9                   -0.24915090278849875     0.7778016806739666
3.39E9                   -0.12940617932240955     0.8047947560354255
3.42E9                   -0.007212129823161106    0.8134949152433738
3.45E9                   0.11465842344797733      0.8037832103778499
3.48E9                   0.23345343482360603      0.7759575582353914
3.51E9                   0.3465037342901159       0.7307235756267957
3.54E9                   0.4512827834600952       0.6691762649199196
3.57E9                   0.5454627587458839       0.5927730661882448
3.6E9                    0.626965742859737        0.5032989820747965
3.63E9                   0.6940089425414101       0.40282464486795444
3.66E9                   0.7451430049823089       0.2936583298976598
3.69E9                   0.7792826707268372       0.17829302566593305
3.72E9                   0.7957291715254275       0.05934975216472384
3.75E9                   0.7941839555344811       -0.06048162261468282
3.78E9                   0.7747534987908953       -0.17850277902185668
3.81E9                   0.7379451420116905       -0.2920672472498622
3.84E9                   0.6846540752817728       -0.39863930874356823
3.87E9                   0.6161417784774479       -0.4958502194860245
3.9E9                    0.5340064084675428       -0.5815505310525375
3.93E9                   0.4401457996751825       -0.6538573675670873
3.96E9                   0.3367139070362015       -0.7111956254119303
3.99E9                   0.22607166446481275      -0.7523321954511328
4.02E9                   0.11073335444998218      -0.7764024601043543
4.05E9                   -0.006690317006255775    -0.7829284861083319
4.08E9                   -0.12355117230759216     -0.7718285143617857
4.11E9                   -0.23722322564743098     -0.743417537751105
4.14E9                   -0.3451617215181377      -0.6983989533436143
4.17E9                   -0.444960219112873       -0.6378474738844757
4.2E9                    -0.5344044294418409      -0.563183681610553
4.23E9                   -0.6115215781933394      -0.4761408007626061
4.26E9                   -0.6746241636645994      -0.3787244489701708
4.29E9                   -0.7223471048459438      -0.27316629637636697
4.32E9                   -0.7536774275788245      -0.1618727095242748
4.35E9                   -0.767975813147924       -0.04736957954981587
4.38E9                   -0.7649895289577103      0.0677553732753564
4.41E9                   -0.744856469478307       0.18091146719511664
4.44E9                   -0.7081002512522663      0.28956372309961614
4.47E9                   -0.6556165220589442      0.3912899609707319
4.5E9                    -0.5886508549759332      0.48383501110249094
4.53E9                   -0.5087687970444337      0.5651608026242356
4.56E9                   -0.4178188240741458      0.633491202227328
4.59E9                   -0.317889113219782       0.6873506129636927
4.62E9                   -0.2112591794409605      0.7255955020425564
4.65E9                   -0.10034752833464662     0.7474382026335725
4.68E9                   0.012343445961601418     0.7524625228411084
4.71E9                   0.12428404356997014      0.7406308899029651
4.74E9                   0.2329740334689525       0.7122829543990827
4.77E9                   0.33599834621640634      0.6681257730156148
4.8E9                    0.4310804548667031       0.6092158747701809
4.83E9                   0.5161322841162058       0.5369336906181017
4.86E9                   0.589299581477336        0.45295098647508736
4.89E9                   0.6490017985408087       0.35919208217008824
4.92E9                   0.6939656620668618       0.25778976126255687
4.95E9                   0.7232517601298221       0.1510368775490597
4.98E9                   0.7362736244632058       0.04133474243748999
5.01E9                   0.7328089532948887       -0.06886056739463774
5.04E9                   0.7130027861630257       -0.17709281050730896
5.07E9                   0.6773626107044578       -0.2809599085796464
5.1E9                    0.626745548521527        -0.37816683426132774
5.13E9                   0.5623379304938517       -0.4665759269526669
5.16E9                   0.48562772881489846      -0.5442535613124121
5.19E9                   0.3983704612015109       -0.6095121707768412
5.22E9                   0.30254931951882935      -0.6609467257307843
5.25E9                   0.20033039809854325      -0.6974648817007632
5.28E9                   0.09401400350162935      -0.7183101458106755
5.31E9                   -0.014016884930437713    -0.7230775574836145
5.34E9                   -0.12134986818800275     -0.711721539701082
5.37E9                   -0.2255969159992926      -0.6845557470942792
5.4E9                    -0.324447494578213       -0.6422449134206883
5.43E9                   -0.41571984661488753     -0.5857888798206042
5.46E9                   -0.4974092724726264      -0.5164991625445311
5.49E9                   -0.5677323247647293      -0.4359685903261813
5.52E9                   -0.6251659182540698      -0.34603470264176056
5.55E9                   -0.6684804715370867      -0.24873774656250386
5.58E9                   -0.6967663340989505      -0.14627423738105572
5.61E9                   -0.7094529086853599      -0.04094715305664637
5.64E9                   -0.7063200507219931      0.0648860884587016
5.67E9                   -0.6875015092204475      0.16886666919892893
5.7E9                    -0.6534803623147887      0.26868720795495976
5.73E9                   -0.6050765900734071      0.36214318296059916
5.76E9                   -0.5434271123071153      0.447181769813154
5.79E9                   -0.4699587946394481      0.5219469928720998
5.82E9                   -0.38635508737573754     0.5848201842304285
5.85E9                   -0.29451710454982444     0.6344548638082298
5.88E9                   -0.196520071382494       0.6698052936190048
5.91E9                   -0.09456616466744681     0.6901481144783297
5.94E9                   0.009065159552990032     0.6950966398863252
5.97E9                   0.11206821419521998      0.6846075548870255
6.0E9                    0.21216235327857974      0.6589799427693601
