% Model:              cali 3.02 0.91mm 校准-正常组织.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 19 2023, 19:31
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                -0.10677441047127267     -0.6265253281311426
330000000                -0.21354251289192538     -0.5995359805457369
360000000                -0.3141329651122883      -0.5545652970692582
390000000                -0.40554992919379435     -0.49294203918882123
420000000                -0.4850720234978009      -0.4164890798670253
450000000                -0.55033304778342        -0.32746828590826077
480000000                -0.5993918755524505      -0.22851231386552315
510000000                -0.6307893783586105      -0.12254540146086733
540000000                -0.6435906460503779      -0.012695625387972701
570000000                -0.637411272457526       0.09779862745327457
600000000                -0.6124269931100801      0.20568508826972917
630000000                -0.5693664577008425      0.3077939744177307
660000000                -0.509487450436548       0.4011313124013601
690000000                -0.43453745510060965     0.4829663299256762
720000000                -0.34670000973294796     0.5509103114252031
750000000                -0.2485286928484829      0.6029847194018981
780000000                -0.14287081843307556     0.637676780378394
810000000                -0.03278310556094279     0.6539810498691438
840000000                0.07855815900795769      0.6514257835314035
870000000                0.18794966720733122      0.6300833988126834
900000000                0.29225341812887073      0.5905649457057167
930000000                0.38848605381444073      0.5339991504833069
960000000                0.4739027723052832       0.4619970443517676
990000000                0.5460737054089426       0.3766034173937034
1020000000               0.6029508284494498       0.2802365137359062
1050000000               0.6429235995506076       0.17561766167836243
1080000000               0.6648617703090303       0.06569290166143671
1110000000               0.668144230750092        -0.04645100172886306
1140000000               0.6526732791759259       -0.15767361271205949
1170000000               0.6188742397418349       -0.2648684070504652
1200000000               0.5676807997672842       -0.3650485226119707
1230000000               0.5005067198916429       -0.45542856124794256
1260000000               0.419204703614329        -0.5335004762360095
1290000000               0.32601339378094657      -0.5971015594660856
1320000000               0.22349387060437156      -0.6444725183325763
1350000000               0.11445758405385914      -0.674303868019977
1380000000               0.001888065963929364     -0.6857694350501371
1410000000               -0.11114120390498475     -0.6785464347522123
1440000000               -0.22155066472891172     -0.652821995807532
1470000000               -0.32633833599881457     -0.6092860799754164
1500000000               -0.422661196007022       -0.5491107976472555
1530000000               -0.5079119379877798      -0.4739164710649997
1560000000               -0.5797887245790172      -0.38572541685987716
1590000000               -0.6363558767725362      -0.2869050253091224
1620000000               -0.6760939679878648      -0.18010206528774464
1650000000               -0.6979383030832068      -0.06817019859611659
1680000000               -0.7013050719529109      0.04590739931760534
1710000000               -0.6861045973131644      0.15909843034527205
1740000000               -0.6527412226439457      0.26840282737753846
1770000000               -0.6020997074893524      0.3709327538152948
1800000000               -0.5355185754308822      0.4639887917635753
1830000000               -0.4547515191212861      0.545130064154835
1860000000               -0.36191839148254545     0.6122365461613468
1890000000               -0.25944735884682696     0.663562326481026
1920000000               -0.15000967014108363     0.697778794445749
1950000000               -0.03644855235920854     0.7140067097405058
1980000000               0.0782959218060583       0.7118361864702325
2010000000               0.1912637782612695       0.6913340256943323
2040000000               0.2995515913425413       0.6530384545069464
2070000000               0.4003863810816721       0.5979418635513897
2100000000               0.49119526771636207      0.5274623841581603
2130000000               0.5696694306525864       0.4434051891467472
2.16E9                   0.6338209730122195       0.34791445755565703
2.19E9                   0.6820313013484839       0.2434171513748037
2.22E9                   0.7130897611970799       0.13256007434505954
2.25E9                   0.7262215839408903       0.018141974837669435
2.28E9                   0.7211046290875007       -0.09695741352162626
2.31E9                   0.6978748068105421       -0.20984956009433892
2.34E9                   0.657120322658712        -0.3177088835498191
