% Model:              cali 3.02 0.91mm 校准 开路.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 19 2023, 15:08
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.11867098553092958      -0.9915433600477619
330000000                -0.02599378899887661     -0.9984598864862386
360000000                -0.1701582599130596      -0.9843777419910869
390000000                -0.3107890056231815      -0.9495843308593207
420000000                -0.44492448732374723     -0.8948034554073354
450000000                -0.5697376721819277      -0.8211807549809689
480000000                -0.6825960025604929      -0.7302601486699936
510000000                -0.7811174080583508      -0.6239517314252645
540000000                -0.8632211266013624      -0.50449176889929
570000000                -0.9271722062183699      -0.3743956176090317
600000000                -0.9716186886652909      -0.23640456494621098
630000000                -0.9956206344097356      -0.0934277288375093
660000000                -0.9986703287089542      0.051519723286797464
690000000                -0.9807032068807606      0.19538068660481006
720000000                -0.9420992481172972      0.335121154270321
750000000                -0.8836748054834717      0.4677947464282842
780000000                -0.8066650590315853      0.5906053143701233
810000000                -0.7126974928994364      0.7009662497862791
840000000                -0.603757000314347       0.7965552091220219
870000000                -0.4821434064367692      0.8753630750103127
900000000                -0.3504223641922517      0.9357361148066673
930000000                -0.21137071756172088     0.9764104577828784
960000000                -0.06791753851148244     0.9965381912415521
990000000                0.07691787536700528      0.9957045674929452
1020000000               0.22008970494739924      0.9739360121759172
1050000000               0.3585896584439546       0.9316988252856014
1080000000               0.4895100189390732       0.8698886643036583
1110000000               0.6101043828526621       0.789811089857988
1140000000               0.7178448466878173       0.6931536344048461
1170000000               0.8104744868546515       0.5819500208365906
1200000000               0.8860540858792686       0.45853730766121575
1230000000               0.9430021837396325       0.3255068687876494
1260000000               0.980127672580731        0.18565022819997462
1290000000               0.9966543045399455       0.04190086071023802
1320000000               0.9922366420320956       -0.10272685898882067
1350000000               0.9669671462094002       -0.24520032878309037
1380000000               0.9213742690306997       -0.38253175434956055
1410000000               0.856411586103436        -0.5118402832785842
1440000000               0.7734381783961557       -0.6304119894012854
1470000000               0.6741906394650194       -0.7357564955348619
1500000000               0.5607472478746954       -0.825659081794853
