% Model:              cali 3.02 0.91mm 校准-正常组织.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 19 2023, 15:32
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                -0.06254892686062981     -0.8583902043754394
330000000                -0.19752826372295829     -0.8349783006089813
360000000                -0.32669681025937847     -0.7907444069279199
390000000                -0.44689070158322697     -0.7268930710726479
420000000                -0.5551728511761375      -0.6451121944406176
450000000                -0.6489085840813971      -0.547530304099143
480000000                -0.725832637617342       -0.43666232435357905
510000000                -0.7841061085960406      -0.31534550743551887
540000000                -0.8223621409847912      -0.18666729717606298
570000000                -0.839739401119979       -0.05388695672550934
600000000                -0.8359024900106888      0.07964713009029079
630000000                -0.8110486734639122      0.21058225825993065
660000000                -0.7659008689465776      0.33564593850309227
690000000                -0.7016872510702132      0.4517280088418392
720000000                -0.6201080281256202      0.5559582525817985
750000000                -0.5232903184977603      0.6457774284800192
780000000                -0.4137325654347871      0.7189999154690856
810000000                -0.29424003914623365     0.7738666983447703
840000000                -0.1678528035069171      0.8090875385091527
870000000                -0.03776777486906067     0.8238709912663101
900000000                0.09274286728657587      0.8179411658945794
930000000                0.22041428269823485      0.7915408784196042
960000000                0.3420701218202895       0.7454216792220641
990000000                0.4547003334113153       0.680821711759038
1020000000               0.5555342494318822       0.5994323246057796
1050000000               0.642107687575842        0.5033541515507761
1080000000               0.7123226653154238       0.3950433393067012
1110000000               0.7644980838388925       0.277248815246034
1140000000               0.7974096111150261       0.15294205104611389
1170000000               0.8103173572579827       0.025241526229752526
1200000000               0.8029808191396093       -0.10266553127622778
1230000000               0.7756614267225598       -0.22760186234522004
1260000000               0.729113300647046        -0.346477722265323
1290000000               0.6645626228183172       -0.4563659453032381
1320000000               0.5836758864488113       -0.5545730903493755
1350000000               0.4885174665152304       -0.6387050114137383
1380000000               0.3814973059773257       -0.7067250942014095
1410000000               0.2653099794183202       -0.7570034649927533
1440000000               0.14286683412300044      -0.7883558228478865
1470000000               0.01722305438622307      -0.8000710428996206
1500000000               -0.10849859332137922     -0.7919269983201548
1530000000               -0.23118552527245007     -0.7641941361115872
1560000000               -0.3478125348441237      -0.7176265952779031
1590000000               -0.4555162224714131      -0.653441237354141
1620000000               -0.5516647887919625      -0.5732855223117406
1650000000               -0.6339218292301573      -0.479195310106128
1680000000               -0.7003029971848265      -0.37354348209608457
1710000000               -0.7492242462882346      -0.2589802092468173
1740000000               -0.7795401609682544      -0.13836600669291743
1770000000               -0.7905709649608319      -0.014699243324009754
1800000000               -0.7821171915423788      0.10895973957523686
1830000000               -0.7544616288941786      0.22956545915029394
1860000000               -0.7083588958388463      0.34416268397076655
1890000000               -0.6450135708378832      0.4499584506130117
1920000000               -0.5660479123431312      0.5443893415125441
1950000000               -0.4734599721655257      0.6251829329304981
1980000000               -0.36957276403516426     0.6904121663592793
2010000000               -0.2569754098100902      0.7385411476190762
2040000000               -0.13845770292116288     0.7684609154899884
2070000000               -0.016939969640537456    0.7795140930647938
2100000000               0.1045996887081488       0.7715078499394494
2130000000               0.22319869734507006      0.7447151041792321
2.16E9                   0.3359819386337405       0.6998643108836603
2.19E9                   0.4402306488798708       0.6381184654227019
2.22E9                   0.5334468573853706       0.5610440781950391
2.25E9                   0.6134120805683776       0.47057093532185973
2.28E9                   0.6782390403538326       0.36894356119668287
2.31E9                   0.726415246796946        0.2586654716452976
2.34E9                   0.7568374151289863       0.14243749906243638
2.37E9                   0.7688358631277691       0.02309165497965049
2.4E9                    0.7621882647098573       -0.09647782501242444
2.43E9                   0.7371224520049687       -0.2133844687084303
2.46E9                   0.6943083392719956       -0.32481877730342784
2.49E9                   0.6348393953459205       -0.4281149694450617
2.52E9                   0.560204332377784        -0.5208137806988218
2.55E9                   0.4722497986278283       -0.6007200400960535
2.58E9                   0.37313492396849207      -0.6659538708872569
2.61E9                   0.26527865188569105      -0.7149944142099606
2.64E9                   0.15130095536943494      -0.7467150118553244
2.67E9                   0.03395926921424053      -0.7604088893918046
2.7E9                    -0.08391829082582856     -0.7558046051705214
2.73E9                   -0.19950119524389118     -0.7330708575758115
2.76E9                   -0.31002449766187967     -0.6928106015571203
2.79E9                   -0.41285488150408156     -0.6360447430181305
2.82E9                   -0.5055532065556944      -0.564185924126621
2.85E9                   -0.5859321386095211      -0.47900309675939917
2.88E9                   -0.6521075628852584      -0.38257773787913774
2.91E9                   -0.70254259001882        -0.2772527205079668
2.94E9                   -0.7360830873354369      -0.16557503079790004
2.97E9                   -0.7519838346306305      -0.05023370783967839
3.0E9                    -0.7499246285545542      0.0660054472231627
3.03E9                   -0.730015939120149       0.18036672355712902
3.06E9                   -0.6927940343707937      0.2901311948681002
3.09E9                   -0.6392058027089537      0.3927015661477668
3.12E9                   -0.5705837851271609      0.4856635855870611
3.15E9                   -0.4886121611504522      0.5668425823550493
3.18E9                   -0.39528461237013446     0.6343538550597092
3.21E9                   -0.2928551342830547      0.6866457963809878
3.24E9                   -0.18378300327755853     0.722534798431899
3.27E9                   -0.0706732401503249      0.7412311591612755
3.3E9                    0.043785966319456374     0.7423554208042487
3.33E9                   0.15688732670038608      0.7259448205370238
3.36E9                   0.2659684327432261       0.6924498051781858
3.39E9                   0.3684741142572021       0.6427208293871833
3.42E9                   0.46201572208117114      0.5779858964946273
3.45E9                   0.5444260119406173       0.499819501508536
3.48E9                   0.6138084413503062       0.41010380040680305
3.51E9                   0.6685798340863294       0.31098296957591326
3.54E9                   0.7075055152516783       0.2048118444385134
3.57E9                   0.7297261819834177       0.09410003945787036
3.6E9                    0.7347759559983669       -0.018547152383318544
3.63E9                   0.7225912642255814       -0.13048971290767009
3.66E9                   0.693510406386185        -0.23911430143256204
3.69E9                   0.648263883837818        -0.3418947052140945
3.72E9                   0.5879557724812167       -0.43644997338336866
3.75E9                   0.5140366169941383       -0.5205989380083896
3.78E9                   0.428268501156143        -0.5924099173305771
3.81E9                   0.3326831095111231       -0.6502445067388929
3.84E9                   0.22953374123798867      -0.6927944896321048
3.87E9                   0.12124236822079588      -0.7191110443370654
3.9E9                    0.010342944520746224     -0.7286255861799065
3.93E9                   -0.10057773163689952     -0.7211617669773637
3.96E9                   -0.20894023562287434     -0.6969383552924278
3.99E9                   -0.31223241306991256     -0.6565629344759084
4.02E9                   -0.40806755782500803     -0.60101657377151
4.05E9                   -0.49423951287732726     -0.5316298426064614
4.08E9                   -0.5687734088113867      -0.45005074299609116
4.11E9                   -0.6299708570222249      -0.3582053254471149
4.14E9                   -0.6764485447253299      -0.2582519268720391
4.17E9                   -0.7071693337847608      -0.15253012195339974
4.2E9                    -0.7214651437506968      -0.043505608419431116
4.23E9                   -0.7190510985817672      0.06628765302213786
4.26E9                   -0.7000306315431284      0.1743066564009692
4.29E9                   -0.66489146726417        0.27805850828482825
4.32E9                   -0.6144926262339141      0.3751581168232216
4.35E9                   -0.5500428174047747      0.46338304978124656
4.38E9                   -0.4730707922181503      0.5407242812667347
4.41E9                   -0.3853884226654204      0.6054316603501628
4.44E9                   -0.28904743261288246     0.6560530755225253
4.47E9                   -0.18629085204041457     0.691466452442314
4.5E9                    -0.07950037560739745     0.7109039038876825
4.53E9                   0.028859112240674813     0.713967545495681
4.56E9                   0.13629653470985162      0.7006366934148435
4.59E9                   0.24035181567873246      0.6712663650737485
4.62E9                   0.33865195742248155      0.6265772063569877
4.65E9                   0.4289647384358306       0.5676371625220851
4.68E9                   0.5092488410600045       0.49583539155337075
4.71E9                   0.5776993171516568       0.41284908382107544
4.74E9                   0.6327874197161809       0.32060399802915773
4.77E9                   0.6732939652814193       0.22122964871923229
4.8E9                    0.6983355426871708       0.11701018359629219
4.83E9                   0.7073830454535678       0.010332068944001136
4.86E9                   0.7002721740443807       -0.09637024239013468
4.89E9                   0.6772057280353867       -0.20066945368152445
4.92E9                   0.6387476834629432       -0.3002001629412728
4.95E9                   0.5858092244499853       -0.392711998613784
4.98E9                   0.5196270676634344       -0.47611999288926454
5.01E9                   0.44173458042263847      -0.5485510952465874
5.04E9                   0.35392634564159436      -0.6083858125530194
5.07E9                   0.25821696666301275      -0.6542940661336765
5.1E9                    0.1567950298118051       -0.6852644793180311
5.13E9                   0.0519732496305215       -0.7006264492266736
5.16E9                   -0.05386409129661658     -0.7000645119330677
5.19E9                   -0.15831523159372712     -0.6836246780044776
5.22E9                   -0.2590153335529484      -0.651712592763052
5.25E9                   -0.3536899697284926      -0.6050835587576461
5.28E9                   -0.44020647936010154     -0.5448246429557155
5.31E9                   -0.516622023287312       -0.47232927362058263
5.34E9                   -0.5812272372689959      -0.3892649071695295
5.37E9                   -0.6325844819563143      -0.2975345089270591
5.4E9                    -0.6695598115469106      -0.19923273896543114
5.43E9                   -0.6913479295068516      -0.09659786098059087
5.46E9                   -0.6974895652939908      0.008039505440985932
5.49E9                   -0.6878808864811923      0.112309593847963
5.52E9                   -0.6627747513018468      0.21385742096816618
